series_index,cluster,is_medoid,cluster_size
0,2,False,36.0
1,4,False,32.0
2,2,False,36.0
3,3,False,62.0
4,1,False,70.0
5,1,False,70.0
6,3,False,62.0
7,3,False,62.0
8,2,False,36.0
9,1,False,70.0
10,3,False,62.0
11,2,False,36.0
12,1,False,70.0
13,3,False,62.0
14,2,False,36.0
15,2,False,36.0
16,4,False,32.0
17,1,False,70.0
18,3,False,62.0
19,1,False,70.0
20,1,False,70.0
21,2,False,36.0
22,1,False,70.0
23,1,False,70.0
24,3,False,62.0
25,1,False,70.0
26,1,False,70.0
27,2,False,36.0
28,1,False,70.0
29,2,False,36.0
30,1,False,70.0
31,4,False,32.0
32,2,False,36.0
33,3,False,62.0
34,2,False,36.0
35,4,False,32.0
36,3,False,62.0
37,2,False,36.0
38,1,False,70.0
39,1,False,70.0
40,3,False,62.0
41,3,False,62.0
42,4,False,32.0
43,3,False,62.0
44,2,False,36.0
45,2,False,36.0
46,3,False,62.0
47,3,False,62.0
48,3,False,62.0
49,3,False,62.0
50,1,False,70.0
51,3,False,62.0
52,1,False,70.0
53,4,False,32.0
54,1,False,70.0
55,3,False,62.0
56,3,False,62.0
57,2,False,36.0
58,3,False,62.0
59,1,False,70.0
60,1,False,70.0
61,1,False,70.0
62,1,False,70.0
63,1,False,70.0
64,1,False,70.0
65,3,False,62.0
66,3,False,62.0
67,2,False,36.0
68,4,False,32.0
69,3,False,62.0
70,2,False,36.0
71,4,False,32.0
72,3,False,62.0
73,4,False,32.0
74,1,False,70.0
75,4,False,32.0
76,2,False,36.0
77,1,False,70.0
78,1,False,70.0
79,1,False,70.0
80,1,False,70.0
81,2,False,36.0
82,3,False,62.0
83,2,False,36.0
84,1,False,70.0
85,3,False,62.0
86,3,False,62.0
87,1,False,70.0
88,3,False,62.0
89,3,False,62.0
90,4,False,32.0
91,4,False,32.0
92,2,False,36.0
93,3,False,62.0
94,3,False,62.0
95,1,False,70.0
96,1,False,70.0
97,1,False,70.0
98,4,False,32.0
99,1,False,70.0
100,3,False,62.0
101,1,False,70.0
102,3,False,62.0
103,1,False,70.0
104,1,False,70.0
105,3,False,62.0
106,3,False,62.0
107,2,False,36.0
108,1,False,70.0
109,1,False,70.0
110,4,False,32.0
111,3,False,62.0
112,1,False,70.0
113,4,False,32.0
114,3,False,62.0
115,1,False,70.0
116,3,False,62.0
117,1,False,70.0
118,4,False,32.0
119,1,False,70.0
120,4,False,32.0
121,4,False,32.0
122,3,False,62.0
123,1,False,70.0
124,2,False,36.0
125,1,False,70.0
126,3,False,62.0
127,3,False,62.0
128,1,False,70.0
129,3,False,62.0
130,2,False,36.0
131,1,False,70.0
132,4,False,32.0
133,1,False,70.0
134,1,False,70.0
135,1,False,70.0
136,3,False,62.0
137,1,True,70.0
138,3,False,62.0
139,3,False,62.0
140,2,False,36.0
141,1,False,70.0
142,1,False,70.0
143,1,False,70.0
144,2,False,36.0
145,1,False,70.0
146,3,False,62.0
147,4,False,32.0
148,3,False,62.0
149,3,False,62.0
150,2,False,36.0
151,3,True,62.0
152,4,False,32.0
153,4,False,32.0
154,3,False,62.0
155,3,False,62.0
156,2,False,36.0
157,3,False,62.0
158,1,False,70.0
159,1,False,70.0
160,4,False,32.0
161,1,False,70.0
162,2,True,36.0
163,2,False,36.0
164,3,False,62.0
165,3,False,62.0
166,1,False,70.0
167,2,False,36.0
168,2,False,36.0
169,1,False,70.0
170,3,False,62.0
171,1,False,70.0
172,3,False,62.0
173,4,True,32.0
174,3,False,62.0
175,4,False,32.0
176,4,False,32.0
177,1,False,70.0
178,1,False,70.0
179,2,False,36.0
180,3,False,62.0
181,3,False,62.0
182,2,False,36.0
183,4,False,32.0
184,4,False,32.0
185,4,False,32.0
186,3,False,62.0
187,3,False,62.0
188,1,False,70.0
189,1,False,70.0
190,4,False,32.0
191,1,False,70.0
192,3,False,62.0
193,4,False,32.0
194,2,False,36.0
195,1,False,70.0
196,1,False,70.0
197,1,False,70.0
198,4,False,32.0
199,2,False,36.0
